,Contract,Base,Contract,Ours,Diff,Ratio
approve,BecToken,275,BecToken,275,0,0.0
balanceOf,BecToken,211,BecToken,211,0,0.0
batchTransfer,BecToken,48351,BecToken,39616,-8735,-0.18065810427912557
togglePause,BecToken,208,BecToken,208,0,0.0
transfer,BecToken,72355,BecToken,59220,-13135,-0.1815354847626287
transferFrom,BecToken,66939,BecToken,53887,-13052,-0.1949834924334095
allowance,EKT,306,EKT,306,0,0.0
approve,EKT,297,EKT,297,0,0.0
balanceOf,EKT,221,EKT,221,0,0.0
transfer,EKT,150372,EKT,128463,-21909,-0.1456986673050834
transferFrom,EKT,60699,EKT,51983,-8716,-0.1435937989093725
adjustAllowance,HoloToken,44523,HoloToken,37997,-6526,-0.14657592704894098
approve,HoloToken,347,HoloToken,347,0,0.0
balanceOf,HoloToken,216,HoloToken,216,0,0.0
transfer,HoloToken,120363,HoloToken,98428,-21935,-0.18224038948846405
transferFrom,HoloToken,200173,HoloToken,160703,-39470,-0.19717943978458632
allowance,InsightChainToken,117,InsightChainToken,117,0,0.0
approve,InsightChainToken,291,InsightChainToken,291,0,0.0
balanceOf,InsightChainToken,123,InsightChainToken,123,0,0.0
transfer,InsightChainToken,44319,InsightChainToken,37747,-6572,-0.1482885444166159
allowance,ZRXToken,280,ZRXToken,280,0,0.0
approve,ZRXToken,397,ZRXToken,397,0,0.0
balanceOf,ZRXToken,228,ZRXToken,228,0,0.0
totalSupply,ZRXToken,113,ZRXToken,113,0,0.0
transfer,ZRXToken,541,ZRXToken,541,0,0.0
burn,BlockCities,296,BlockCities,296,0,0.0
getAttribute,BlockCities,289,BlockCities,289,0,0.0
mint,BlockCities,487,BlockCities,487,0,0.0
queryToken,BlockCities,282,BlockCities,282,0,0.0
setAttribute,BlockCities,306,BlockCities,306,0,0.0
supplyInfo,BlockCities,214,BlockCities,214,0,0.0
transfer,BlockCities,334,BlockCities,334,0,0.0
balanceOf,Clovers,228,Clovers,228,0,0.0
burnToken,Clovers,170,Clovers,170,0,0.0
getAttr,Clovers,285,Clovers,285,0,0.0
mintToken,Clovers,323,Clovers,323,0,0.0
query,Clovers,287,Clovers,287,0,0.0
setAttr,Clovers,302,Clovers,302,0,0.0
transfer,Clovers,241,Clovers,241,0,0.0
getProperty,DozerDoll,293,DozerDoll,293,0,0.0
getSymValue,DozerDoll,228,DozerDoll,228,0,0.0
manageToken,DozerDoll,633,DozerDoll,633,0,0.0
setProperty,DozerDoll,351,DozerDoll,351,0,0.0
setSymValue,DozerDoll,265,DozerDoll,265,0,0.0
totalSupply,DozerDoll,108,DozerDoll,108,0,0.0
balanceOf,EggStorage,213,EggStorage,213,0,0.0
getEggProperty,EggStorage,303,EggStorage,303,0,0.0
manageEgg,EggStorage,455,EggStorage,455,0,0.0
push,EggStorage,418,EggStorage,418,0,0.0
remove,EggStorage,220,EggStorage,220,0,0.0
tokenOperation,EggStorage,307,EggStorage,307,0,0.0
balanceOf,KingdomsBeyond,218,KingdomsBeyond,218,0,0.0
burn,KingdomsBeyond,268,KingdomsBeyond,268,0,0.0
getOwner,KingdomsBeyond,207,KingdomsBeyond,207,0,0.0
mint,KingdomsBeyond,330,KingdomsBeyond,330,0,0.0
transfer,KingdomsBeyond,501,KingdomsBeyond,501,0,0.0
