,Contract,Function,Baseline,Ours,Diff,ReduceRatio
0,BecToken,approve,119236.2,120120.66666666669,884.466666666689,0.007417769659438065
1,BecToken,balanceOf,101134.5,102244.11111111112,1109.611111111124,0.01097163787936979
2,BecToken,batchTransfer,8248727.0,6435361.4,-1813365.5999999996,-0.21983581224108878
3,BecToken,togglePause,107335.0,108356.6,1021.6000000000058,0.009517864629431274
4,BecToken,transfer,12242284.7,9614799.555555556,-2627485.1444444433,-0.21462375764259456
5,BecToken,transferFrom,11375150.666666666,8673083.0,-2702067.666666666,-0.2375412639223064
6,EKT,allowance,115370.4,117051.6,1681.2000000000116,0.01457219529446038
7,EKT,approve,133872.77777777778,132164.2,-1708.5777777777694,-0.012762697586016511
8,EKT,balanceOf,107350.2,109041.1,1690.9000000000087,0.015751251511408538
9,EKT,transfer,25161755.6,20294443.1,-4867312.5,-0.19344089408451293
10,EKT,transferFrom,10228428.9,8422596.5,-1805832.4000000004,-0.17655032045048485
11,HoloToken,adjustAllowance,7525679.4,6112634.5,-1413044.9000000004,-0.18776310083047124
12,HoloToken,approve,144710.1,129059.5,-15650.600000000006,-0.10815140062787605
13,HoloToken,balanceOf,104659.11111111112,104076.9,-582.2111111111299,-0.00556292810946031
14,HoloToken,transfer,20123440.33333333,15895749.9,-4227690.433333328,-0.21008785591847337
15,HoloToken,transferFrom,35639374.6,25675760.875,-9963613.725000001,-0.2795675804311112
16,InsightChainToken,allowance,64418.0,62697.0,-1721.0,-0.02671613524170263
17,InsightChainToken,approve,115160.55555555556,118423.6,3263.044444444444,0.02833474038660999
18,InsightChainToken,balanceOf,60939.55555555556,61303.2,363.64444444443507,0.0059672972854703295
19,InsightChainToken,transfer,7431969.4,6155719.6,-1276249.8000000007,-0.17172430769157912
20,ZRXToken,allowance,376577.0,379852.7142857143,3275.714285714319,0.008698657341564458
21,ZRXToken,approve,425470.6,387816.6,-37654.0,-0.08849965191484442
22,ZRXToken,balanceOf,108670.8,109795.55555555556,1124.755555555559,0.010350117561990517
23,ZRXToken,totalSupply,62645.9,64461.6,1815.699999999997,0.028983540822304366
24,ZRXToken,transfer,178725.3,181366.3,2641.0,0.014776867069183826
25,BlockCities,burn,381246.0,369831.2,-11414.799999999988,-0.029940773149095306
26,BlockCities,getAttribute,403350.8,372208.4,-31142.399999999965,-0.07720921837765034
27,BlockCities,mint,487397.1,464973.2222222223,-22423.87777777767,-0.04600740910805105
28,BlockCities,queryToken,123926.6,126619.0,2692.399999999994,0.02172576347612211
29,BlockCities,setAttribute,410289.3,353108.875,-57180.42499999999,-0.13936611313041794
30,BlockCities,supplyInfo,357189.1,337096.1111111111,-20092.988888888853,-0.05625308523941199
31,BlockCities,transfer,403244.4,370874.0,-32370.400000000023,-0.08027489036425557
32,Clovers,balanceOf,105758.88888888888,105922.44444444444,163.55555555556202,0.0015464946471534396
33,Clovers,burnToken,361557.1,327587.7,-33969.399999999965,-0.09395307131294052
34,Clovers,getAttr,387769.9,368333.77777777775,-19436.12222222227,-0.05012282341208606
35,Clovers,mintToken,419708.0,398588.6,-21119.400000000023,-0.0503192695874275
36,Clovers,query,372687.9,358858.8,-13829.100000000035,-0.03710638311573849
37,Clovers,setAttr,406929.6,366323.6666666667,-40605.93333333329,-0.0997861382738766
38,Clovers,transfer,381954.2,355899.3,-26054.900000000023,-0.06821472312649009
39,DozerDoll,getProperty,380731.1,354673.5,-26057.599999999977,-0.06844095478409822
40,DozerDoll,getSymValue,369069.0,339546.0,-29523.0,-0.07999317200848621
41,DozerDoll,manageToken,461401.4444444445,463628.3,2226.855555555492,0.004826286485159929
42,DozerDoll,setProperty,412777.5555555556,388173.9,-24603.655555555597,-0.05960511957206985
43,DozerDoll,setSymValue,392323.3,335878.22222222225,-56445.07777777774,-0.14387388609796498
44,DozerDoll,totalSupply,64208.333333333336,65185.1,976.7666666666628,0.01521245944192077
45,EggStorage,balanceOf,103248.0,103025.5,-222.5,-0.0021550054238338757
46,EggStorage,getEggProperty,398568.8888888889,377127.3,-21441.588888888888,-0.053796443943888134
47,EggStorage,manageEgg,419801.3,400614.125,-19187.17499999999,-0.045705372994318955
48,EggStorage,push,416493.5555555556,414410.1111111111,-2083.444444444496,-0.005002344974258762
49,EggStorage,remove,346904.3,344906.7777777777,-1997.5222222222947,-0.005758136241673264
50,EggStorage,tokenOperation,378234.3,378869.8888888889,635.5888888888876,0.001680410499229942
51,KingdomsBeyond,balanceOf,100873.6,100748.55555555556,-125.0444444444438,-0.0012396151663511938
52,KingdomsBeyond,burn,126798.44444444444,127567.2,768.7555555555591,0.006062815351748122
53,KingdomsBeyond,getOwner,95329.33333333331,96078.9,749.5666666666802,0.0078629173252026
54,KingdomsBeyond,mint,135055.6,136198.6,1143.0,0.00846318108986225
55,KingdomsBeyond,transfer,172326.5,174780.0,2453.5,0.014237508450528503
