,Contract,Function,Base,Ours,Diff,Ratio
0,ERC20_BEC,togglePause,208,208,0,0.0
1,ERC20_BEC,balanceOf,211,211,0,0.0
2,ERC20_BEC,approve,275,275,0,0.0
3,ERC20_BEC,batchTransfer,48351,39616,-8735,-0.1806581042791255
4,ERC20_BEC,transferFrom,66939,53887,-13052,-0.1949834924334095
5,ERC20_BEC,transfer,72355,59220,-13135,-0.1815354847626287
6,ERC20_EKT,balanceOf,221,221,0,0.0
7,ERC20_EKT,approve,297,297,0,0.0
8,ERC20_EKT,allowance,306,306,0,0.0
9,ERC20_EKT,transferFrom,60699,51983,-8716,-0.1435937989093725
10,ERC20_EKT,transfer,150372,128463,-21909,-0.1456986673050834
11,ERC20_HOT,balanceOf,216,216,0,0.0
12,ERC20_HOT,approve,347,347,0,0.0
13,ERC20_HOT,adjustAllowance,44523,37997,-6526,-0.1465759270489409
14,ERC20_HOT,transfer,120363,98428,-21935,-0.182240389488464
15,ERC20_HOT,transferFrom,200173,160703,-39470,-0.1971794397845863
16,ERC20_INC,allowance,117,117,0,0.0
17,ERC20_INC,balanceOf,123,123,0,0.0
18,ERC20_INC,approve,291,291,0,0.0
19,ERC20_INC,transfer,44319,37747,-6572,-0.1482885444166159
20,ERC20_ZRX,totalSupply,113,113,0,0.0
21,ERC20_ZRX,balanceOf,228,228,0,0.0
22,ERC20_ZRX,allowance,280,280,0,0.0
23,ERC20_ZRX,approve,397,397,0,0.0
24,ERC20_ZRX,transfer,541,541,0,0.0
25,ERC721_BKC,supplyInfo,214,214,0,0.0
26,ERC721_BKC,queryToken,282,282,0,0.0
27,ERC721_BKC,getAttribute,289,289,0,0.0
28,ERC721_BKC,burn,296,296,0,0.0
29,ERC721_BKC,setAttribute,306,306,0,0.0
30,ERC721_BKC,transfer,334,334,0,0.0
31,ERC721_BKC,mint,487,487,0,0.0
32,ERC721_CLV,burnToken,170,170,0,0.0
33,ERC721_CLV,balanceOf,228,228,0,0.0
34,ERC721_CLV,transfer,241,241,0,0.0
35,ERC721_CLV,getAttr,285,285,0,0.0
36,ERC721_CLV,query,287,287,0,0.0
37,ERC721_CLV,setAttr,302,302,0,0.0
38,ERC721_CLV,mintToken,323,323,0,0.0
39,ERC721_DOZ,totalSupply,108,108,0,0.0
40,ERC721_DOZ,getSymValue,228,228,0,0.0
41,ERC721_DOZ,setSymValue,265,265,0,0.0
42,ERC721_DOZ,getProperty,293,293,0,0.0
43,ERC721_DOZ,setProperty,351,351,0,0.0
44,ERC721_DOZ,manageToken,633,633,0,0.0
45,ERC721_EGG,balanceOf,213,213,0,0.0
46,ERC721_EGG,remove,220,220,0,0.0
47,ERC721_EGG,getEggProperty,303,303,0,0.0
48,ERC721_EGG,tokenOperation,307,307,0,0.0
49,ERC721_EGG,push,418,418,0,0.0
50,ERC721_EGG,manageEgg,455,455,0,0.0
51,ERC721_KB,getOwner,207,207,0,0.0
52,ERC721_KB,balanceOf,218,218,0,0.0
53,ERC721_KB,burn,268,268,0,0.0
54,ERC721_KB,mint,330,330,0,0.0
55,ERC721_KB,transfer,501,501,0,0.0
