,Contract,Function,Base,Ours,Diff,ReduceRatio
0,ERC20_BEC,balanceOf,101134.5,102244.11111111112,1109.611111111124,0.0109716378793697
1,ERC20_BEC,togglePause,107335.0,108356.6,1021.6000000000058,0.0095178646294312
2,ERC20_BEC,approve,119236.2,120120.66666666669,884.466666666689,0.007417769659438
3,ERC20_BEC,batchTransfer,8248727.0,6435361.4,-1813365.6,-0.2198358122410887
4,ERC20_BEC,transferFrom,11375150.666666666,8673083.0,-2702067.666666666,-0.2375412639223064
5,ERC20_BEC,transfer,12242284.7,9614799.555555556,-2627485.144444444,-0.2146237576425945
6,ERC20_EKT,balanceOf,107350.2,109041.1,1690.9000000000087,0.0157512515114085
7,ERC20_EKT,allowance,115370.4,117051.6,1681.2000000000116,0.0145721952944603
8,ERC20_EKT,approve,133872.77777777778,132164.2,-1708.5777777777694,-0.0127626975860165
9,ERC20_EKT,transferFrom,10228428.9,8422596.5,-1805832.4000000004,-0.1765503204504848
10,ERC20_EKT,transfer,25161755.6,20294443.1,-4867312.5,-0.1934408940845129
11,ERC20_HOT,balanceOf,104659.11111111112,104076.9,-582.2111111111299,-0.0055629281094603
12,ERC20_HOT,approve,144710.1,129059.5,-15650.600000000006,-0.108151400627876
13,ERC20_HOT,adjustAllowance,7525679.4,6112634.5,-1413044.9000000004,-0.1877631008304712
14,ERC20_HOT,transfer,20123440.33333333,15895749.9,-4227690.433333328,-0.2100878559184733
15,ERC20_HOT,transferFrom,35639374.6,25675760.875,-9963613.725,-0.2795675804311112
16,ERC20_INC,balanceOf,60939.55555555556,61303.2,363.6444444444351,0.0059672972854703
17,ERC20_INC,allowance,64418.0,62697.0,-1721.0,-0.0267161352417026
18,ERC20_INC,approve,115160.55555555556,118423.6,3263.044444444444,0.0283347403866099
19,ERC20_INC,transfer,7431969.4,6155719.6,-1276249.8000000007,-0.1717243076915791
20,ERC20_ZRX,totalSupply,62645.9,64461.6,1815.699999999997,0.0289835408223043
21,ERC20_ZRX,balanceOf,108670.8,109795.55555555556,1124.755555555559,0.0103501175619905
22,ERC20_ZRX,transfer,178725.3,181366.3,2641.0,0.0147768670691838
23,ERC20_ZRX,allowance,376577.0,379852.7142857143,3275.714285714319,0.0086986573415644
24,ERC20_ZRX,approve,425470.6,387816.6,-37654.0,-0.0884996519148444
25,ERC721_BKC,queryToken,123926.6,126619.0,2692.399999999994,0.0217257634761221
26,ERC721_BKC,supplyInfo,357189.1,337096.1111111111,-20092.988888888853,-0.0562530852394119
27,ERC721_BKC,burn,381246.0,369831.2,-11414.799999999988,-0.0299407731490953
28,ERC721_BKC,transfer,403244.4,370874.0,-32370.400000000023,-0.0802748903642555
29,ERC721_BKC,getAttribute,403350.8,372208.4,-31142.399999999965,-0.0772092183776503
30,ERC721_BKC,setAttribute,410289.3,353108.875,-57180.42499999999,-0.1393661131304179
31,ERC721_BKC,mint,487397.1,464973.2222222223,-22423.87777777767,-0.046007409108051
32,ERC721_CLV,balanceOf,105758.88888888888,105922.44444444444,163.55555555556202,0.0015464946471534
33,ERC721_CLV,burnToken,361557.1,327587.7,-33969.399999999965,-0.0939530713129405
34,ERC721_CLV,query,372687.9,358858.8,-13829.100000000037,-0.0371063831157384
35,ERC721_CLV,transfer,381954.2,355899.3,-26054.900000000023,-0.06821472312649
36,ERC721_CLV,getAttr,387769.9,368333.77777777775,-19436.12222222227,-0.050122823412086
37,ERC721_CLV,setAttr,406929.6,366323.6666666667,-40605.93333333329,-0.0997861382738766
38,ERC721_CLV,mintToken,419708.0,398588.6,-21119.400000000023,-0.0503192695874275
39,ERC721_DOZ,totalSupply,64208.333333333336,65185.1,976.7666666666628,0.0152124594419207
40,ERC721_DOZ,getSymValue,369069.0,339546.0,-29523.0,-0.0799931720084862
41,ERC721_DOZ,getProperty,380731.1,354673.5,-26057.599999999977,-0.0684409547840982
42,ERC721_DOZ,setSymValue,392323.3,335878.22222222225,-56445.07777777774,-0.1438738860979649
43,ERC721_DOZ,setProperty,412777.5555555556,388173.9,-24603.6555555556,-0.0596051195720698
44,ERC721_DOZ,manageToken,461401.4444444445,463628.3,2226.855555555492,0.0048262864851599
45,ERC721_EGG,balanceOf,103248.0,103025.5,-222.5,-0.0021550054238338
46,ERC721_EGG,remove,346904.3,344906.7777777777,-1997.5222222222949,-0.0057581362416732
47,ERC721_EGG,tokenOperation,378234.3,378869.8888888889,635.5888888888876,0.0016804104992299
48,ERC721_EGG,getEggProperty,398568.8888888889,377127.3,-21441.588888888888,-0.0537964439438881
49,ERC721_EGG,push,416493.5555555556,414410.1111111111,-2083.444444444496,-0.0050023449742587
50,ERC721_EGG,manageEgg,419801.3,400614.125,-19187.17499999999,-0.0457053729943189
51,ERC721_KB,getOwner,95329.33333333331,96078.9,749.5666666666802,0.0078629173252026
52,ERC721_KB,balanceOf,100873.6,100748.55555555556,-125.0444444444438,-0.0012396151663511
53,ERC721_KB,burn,126798.44444444444,127567.2,768.7555555555591,0.0060628153517481
54,ERC721_KB,mint,135055.6,136198.6,1143.0,0.0084631810898622
55,ERC721_KB,transfer,172326.5,174780.0,2453.5,0.0142375084505285
