base_timestamp,base_cpu_cnt,base_cpu_raw,base_cpu_avg,base_memory_kb,ours_timestamp,ours_cpu_cnt,ours_cpu_raw,ours_cpu_avg,ours_memory_kb
5,40,0.0,0.0,143468.0,13,40,0.0,0.0,139880.0
6,40,0.0,0.0,143468.0,14,40,0.0,0.0,139880.0
7,40,0.0,0.0,143468.0,15,40,0.0,0.0,139880.0
8,40,0.0,0.0,143468.0,16,40,0.0,0.0,139880.0
9,40,0.0,0.0,143468.0,17,40,0.0,0.0,139880.0
10,40,0.0,0.0,143468.0,18,40,0.0,0.0,139880.0
11,40,0.0,0.0,143468.0,19,40,0.0,0.0,139880.0
12,40,0.0,0.0,143468.0,20,40,0.0,0.0,139880.0
13,40,0.0,0.0,143468.0,21,40,0.0,0.0,139880.0
14,40,0.0,0.0,143468.0,22,40,0.0,0.0,139880.0
15,40,0.0,0.0,143468.0,23,40,0.0,0.0,139880.0
16,40,0.0,0.0,143468.0,24,40,0.0,0.0,139880.0
17,40,0.0,0.0,143468.0,25,40,0.0,0.0,139880.0
18,40,0.0,0.0,143468.0,26,40,0.0,0.0,139880.0
19,40,0.0,0.0,143468.0,27,40,0.0,0.0,139880.0
20,40,3900.4,97.51,1328544.0,28,40,3977.3,99.43,1297684.0
21,40,3816.4,95.41,1354180.0,29,40,3840.2,96.0,1369284.0
22,40,3929.7,98.24,1356920.0,30,40,3999.0,99.97,1360396.0
23,40,3991.4,99.78,1355612.0,31,40,3982.0,99.55,1359436.0
24,40,4029.0,100.72,1354308.0,32,40,3980.6,99.52,1359436.0
25,40,3972.3,99.31,1354308.0,33,40,3963.6,99.09,1359436.0
26,40,3981.6,99.54,1354628.0,34,40,3960.7,99.02,1359436.0
27,40,3991.5,99.79,1362408.0,35,40,3939.7,98.49,1375172.0
28,40,3913.7,97.84,1359408.0,36,40,3990.8,99.77,1364780.0
29,40,3981.0,99.53,1358128.0,37,40,3982.1,99.55,1364780.0
30,40,3981.3,99.53,1355164.0,38,40,3869.8,96.75,1364780.0
31,40,3998.1,99.95,1359324.0,39,40,4013.4,100.34,1802616.0
32,40,3968.9,99.22,1381256.0,40,40,3790.5,94.76,1886136.0
33,40,3930.6,98.27,1363112.0,41,40,3939.8,98.5,1757600.0
34,40,3961.4,99.03,1363112.0,42,40,3939.0,98.47,1391712.0
35,40,3991.8,99.8,1363112.0,43,40,3925.1,98.13,1391712.0
36,40,3980.9,99.52,1363112.0,44,40,3969.6,99.24,1391016.0
37,40,3842.1,96.05,1384872.0,45,40,3937.5,98.44,1764420.0
38,40,3978.4,99.46,1384796.0,46,40,3791.5,94.79,1823252.0
39,40,3981.0,99.53,1363904.0,47,40,3926.9,98.17,1410452.0
40,40,3829.1,95.73,1363904.0,48,40,3960.1,99.0,1390596.0
41,40,3981.5,99.54,1363904.0,49,40,3920.5,98.01,1390596.0
42,40,3980.7,99.52,1363260.0,50,40,3917.3,97.93,1755324.0
43,40,3991.0,99.78,1377484.0,51,40,3981.2,99.53,1858632.0
44,40,3988.3,99.71,1361952.0,52,40,3968.1,99.2,1711160.0
45,40,3970.8,99.27,1361248.0,53,40,3959.5,98.99,1395000.0
46,40,3971.1,99.28,1361248.0,54,40,3961.7,99.04,1392720.0
47,40,3982.0,99.55,1361536.0,55,40,3970.3,99.26,1377296.0
48,40,3960.6,99.02,1383484.0,56,40,3853.6,96.34,1423308.0
49,40,3971.0,99.28,1362904.0,57,40,3931.3,98.28,1393124.0
50,40,4118.3,102.96,1362904.0,58,40,3943.2,98.58,1393760.0
51,40,4000.9,100.02,1362904.0,59,40,3906.5,97.66,1799244.0
52,40,3898.0,97.45,1368664.0,60,40,3924.1,98.1,1861796.0
53,40,3868.5,96.71,1747244.0,61,40,3889.7,97.24,1465212.0
54,40,3989.5,99.74,1803244.0,62,40,3858.8,96.47,1493288.0
55,40,3982.6,99.56,1743532.0,63,40,3962.5,99.06,1831232.0
56,40,3991.1,99.78,1387556.0,64,40,3928.0,98.2,1551424.0
57,40,3970.7,99.27,1381580.0,65,40,3951.1,98.78,1400068.0
58,40,3966.2,99.16,1381580.0,66,40,3969.8,99.25,1400708.0
59,40,3925.0,98.12,1795692.0,67,40,3852.6,96.31,1391336.0
60,40,4012.3,100.31,1804972.0,68,40,3986.3,99.66,1725356.0
61,40,3366.2,84.16,1385124.0,69,40,3981.8,99.55,1798956.0
62,40,4042.1,101.05,1770680.0,70,40,3860.1,96.5,1515768.0
63,40,3941.1,98.53,1554512.0,71,40,3371.2,84.28,1402596.0
64,40,3849.0,96.22,1422824.0,72,40,3979.4,99.48,1772076.0
65,40,3957.0,98.92,1396480.0,73,40,3847.5,96.19,1627528.0
66,40,3900.7,97.52,1383292.0,74,40,3928.5,98.21,1427412.0
67,40,4001.6,100.04,1768524.0,75,40,3970.8,99.27,1769060.0
68,40,3959.6,98.99,1624172.0,76,40,3949.9,98.75,1608284.0
69,40,3850.3,96.26,1484740.0,77,40,3938.8,98.47,1404104.0
70,40,3988.8,99.72,1402112.0,78,40,3952.4,98.81,1414344.0
71,40,3979.6,99.49,1398888.0,79,40,3949.7,98.74,1392600.0
72,40,3969.7,99.24,1398888.0,80,40,3966.9,99.17,1394100.0
73,40,3979.1,99.48,1398248.0,81,40,3958.3,98.96,1395380.0
74,40,3947.4,98.69,1398248.0,82,40,3928.9,98.22,1393964.0
75,40,3906.1,97.65,1397928.0,83,40,3849.7,96.24,1399084.0
76,40,4022.6,100.56,1756080.0,84,40,3969.3,99.23,1397356.0
77,40,3920.4,98.01,1842328.0,85,40,3951.1,98.78,1664452.0
78,40,3938.9,98.47,1466920.0,86,40,4020.2,100.5,1822532.0
79,40,4032.6,100.81,1756324.0,87,40,3941.4,98.53,1514864.0
80,40,3930.5,98.26,1794724.0,88,40,3892.7,97.32,1403492.0
81,40,3899.6,97.49,1461216.0,89,40,3934.7,98.37,1398636.0
82,40,3968.8,99.22,1399660.0,90,40,3908.6,97.72,1398956.0
83,40,3959.2,98.98,1396012.0,91,40,3919.9,98.0,1398956.0
84,40,3747.6,93.69,1576680.0,92,40,3819.4,95.48,1396580.0
85,40,3833.1,95.83,1819904.0,93,40,4030.5,100.76,1766808.0
86,40,3859.5,96.49,1501616.0,94,40,3821.5,95.54,1610080.0
87,40,3949.6,98.74,1405740.0,95,40,3900.7,97.52,1449616.0
88,40,3879.1,96.98,1822532.0,96,40,4020.0,100.5,1767428.0
89,40,3819.9,95.5,1627300.0,97,40,3938.6,98.47,1595380.0
90,40,3938.3,98.46,1394588.0,98,40,3965.8,99.15,1403904.0
91,40,3947.1,98.68,1394908.0,99,40,3933.8,98.34,1392028.0
92,40,3959.8,99.0,1394908.0,100,40,3890.6,97.27,1537556.0
93,40,3869.8,96.75,1396508.0,101,40,3980.6,99.52,1783556.0
94,40,3987.0,99.67,1768092.0,102,40,3930.6,98.27,1690504.0
95,40,3950.0,98.75,1869852.0,103,40,3969.8,99.25,1510344.0
96,40,3923.5,98.09,1479724.0,104,40,3921.8,98.05,1401664.0
